,Cedula,Circunscripcion,Comuna,DV,Edad,Nacionalidad,Pais Domicilio,Pais Nacimiento,Partido,Provincia,Rango Edad,Region,Sexo,Sufragio,VotoExterior,Número de registros,Votaron
0,0,Coyhaique,Coyhaique,0,22,chilena,Chile,Chile,[130] FEDERACION REGIONALISTA VERDE SOCIAL,Coyhaique,20-24,De Aysen Del General Carlos Ibañez Del Campo,femenino,sufragó,Nacional,1,1.0
1,0,El Puerto,Valparaiso,0,89,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,80 o +,De Valparaiso,femenino,no sufragó,Nacional,1,
2,0,Iquique,Iquique,0,99,chilena,Chile,Chile,SIN PARTIDO,Iquique,80 o +,De Tarapaca,masculino,no sufragó,Nacional,1,
3,0,Rio Tranquilo,Rio Ibañez,0,22,chilena,Chile,Chile,SIN PARTIDO,General Carrera,20-24,De Aysen Del General Carlos Ibañez Del Campo,masculino,sufragó,Nacional,1,1.0
4,0,El Puerto,Valparaiso,0,95,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,80 o +,De Valparaiso,masculino,no sufragó,Nacional,1,
5,0,Forestal,Viña Del Mar,0,31,chilena,Chile,Chile,SIN PARTIDO,Valparaiso,30-34,De Valparaiso,femenino,sufragó,Nacional,1,1.0
6,0,El Centro,Santiago,0,106,chilena,Chile,Chile,SIN PARTIDO,Santiago,80 o +,Metropolitana De Santiago,femenino,no sufragó,Nacional,1,
7,0,La Cisterna,La Cisterna,0,100,chilena,Chile,Chile,SIN PARTIDO,Santiago,80 o +,Metropolitana De Santiago,femenino,no sufragó,Nacional,1,
8,0,Lota,Lota,0,105,chilena,Chile,Chile,SIN PARTIDO,Concepcion,80 o +,Del Biobio,femenino,no sufragó,Nacional,1,
9,0,Ranquil (Ñipas),Ranquil,0,75,chilena,Chile,Chile,SIN PARTIDO,Itata,75-79,De Ñuble,femenino,no sufragó,Nacional,1,
